"Where can I buy medicine?", -37.8005, 144.9787
"Where can I buy a book?", -37.7672, 144.9610
"Where can I find a good restaurant?", -37.8676, 144.9809
"What are some popular tourist attractions?", -37.8136, 144.9631
"Dandenong", -37.9833, 145.2167
"Best coffee near the river", -37.8210, 144.9646
"Pharmacy open late", -37.8159, 144.9460
"Vegan bakery nearby", -37.8040, 144.9860
"Cheap eats in the city centre", -37.8130, 144.9640
"Live music tonight", -37.7993, 144.8996
"Museum with modern art", -37.8206, 144.9689
"Closest supermarket", -37.8351, 144.9910
"Good hiking trails", -37.8643, 144.9040
"Camera repair shop", -37.8186, 145.0070
"Public swimming pool", -37.8495, 144.9930
"Family-friendly park", -37.8008, 144.9660
"Traditional Italian food", -37.8001, 144.9669
"Seafood restaurants", -37.8649, 144.9360
"Co-working spaces", -37.8045, 144.9635
"Bus to the airport", -37.8142, 144.9591
"Craft beer pubs", -37.8075, 144.9720
"Pet-friendly cafes", -37.8260, 144.9900
"Farmers market this weekend", -37.7980, 144.9600
"Late night dessert places", -37.8100, 144.9700
"Second-hand bookstores", -37.8110, 144.9650
"Art galleries near St Kilda", -37.8675, 144.9800
"Best rooftop bars", -37.8132, 144.9630
"Music festivals coming up", -37.8200, 144.9500
"Public toilets nearby", -37.8050, 144.9600
"Bike rental shops", -37.8150, 144.9680
"Train station car park", -37.8220, 144.9550
"Where to eat sushi?", -37.8030, 144.9750
"Childcare centres around here", -37.8500, 144.9950
"ATM closest to me", -37.8190, 144.9620
"Best burger joints", -37.8270, 144.9650
"Where to buy flowers?", -37.8180, 144.9700
"Indoor climbing gyms", -37.8300, 144.9800
"Where can I charge my EV?", -37.8125, 144.9650
"Best libraries in Melbourne", -37.8095, 144.9630
"Where to try dumplings?", -37.8080, 144.9725
"St Kilda beach activities", -37.8670, 144.9780
"Closest police station", -37.8145, 144.9555
"Cheap hostels for backpackers", -37.8060, 144.9700
"Vintage clothing stores", -37.8070, 144.9755
"Dog parks", -37.8240, 144.9750
"Where to buy electronics?", -37.8175, 144.9670
"Popular brunch spots", -37.8115, 144.9665
"Best fish and chips", -37.8600, 144.9800
"Tourist info centre", -37.8150, 144.9650
"Closest petrol station", -37.8200, 144.9580
